datetime,event,value
2017-05-03 10:32:13.389455, Orientation: ,Yaw: East-SouthEast
2017-05-03 10:32:13.404935, Orientation: ,Roll: NorthEast-East
2017-05-03 10:32:26.946314, Compass: ,104.9
2017-05-03 10:32:46.909244, Compass: ,105.0
2017-05-03 10:32:59.365819, Compass: ,105.1
2017-05-03 10:33:22.760778, Compass: ,105.4
2017-05-03 10:33:48.823520, Compass: ,105.7
2017-05-03 10:34:10.021188, Compass: ,106.1
2017-05-03 10:34:40.350626, Compass: ,106.6
2017-05-03 10:35:15.824649, Compass: ,107.2
2017-05-03 10:35:46.749902, Compass: ,108.0
2017-05-03 10:36:04.853538, Compass: ,108.8
2017-05-03 10:36:27.917149, Compass: ,109.7
2017-05-03 10:36:49.296374, Compass: ,110.6
2017-05-03 10:37:06.740248, Compass: ,111.6
2017-05-03 10:37:22.278261, Compass: ,112.7
2017-05-03 10:37:53.502430, Compass: ,113.7
2017-05-03 10:38:16.594081, Compass: ,114.8
2017-05-03 10:38:35.013863, Compass: ,115.9
2017-05-03 10:38:52.588327, Compass: ,116.9
2017-05-03 10:39:05.204707, Compass: ,118.0
2017-05-03 10:39:26.380124, Compass: ,119.1
2017-05-03 10:39:49.137460, Compass: ,120.2
2017-05-03 10:40:07.711544, Compass: ,121.3
2017-05-03 10:40:24.268798, Compass: ,122.4
2017-05-03 10:40:49.612894, Compass: ,123.5
2017-05-03 10:41:14.946605, Compass: ,124.6
2017-05-03 10:41:42.881861, Compass: ,125.7
2017-05-03 10:42:02.539838, Compass: ,126.7
2017-05-03 10:42:34.799118, Compass: ,127.8
2017-05-03 10:43:00.013168, Compass: ,128.9
2017-05-03 10:43:28.649142, Compass: ,130.0
2017-05-03 10:43:52.661550, Compass: ,131.1
2017-05-03 10:44:15.323402, Compass: ,132.2
2017-05-03 10:44:38.370685, Compass: ,133.3
2017-05-03 10:44:56.815581, Compass: ,134.5
2017-05-03 10:45:22.191214, Orientation: ,Yaw: SouthEast-South
2017-05-03 10:45:22.224455, Compass: ,135.6
2017-05-03 10:45:37.326706, Compass: ,136.6
2017-05-03 10:46:05.109702, Compass: ,137.6
2017-05-03 10:46:24.793173, Compass: ,138.6
2017-05-03 10:46:45.961824, Compass: ,139.6
2017-05-03 10:47:12.679029, Compass: ,140.6
2017-05-03 10:47:31.243843, Compass: ,141.5
2017-05-03 10:47:45.644497, Compass: ,142.5
2017-05-03 10:48:04.789706, Compass: ,143.4
2017-05-03 10:48:25.564585, Compass: ,144.3
2017-05-03 10:48:56.764426, Compass: ,145.1
2017-05-03 10:49:29.822391, Compass: ,146.0
2017-05-03 10:50:02.273279, Compass: ,146.8
2017-05-03 10:50:21.625500, Compass: ,147.7
2017-05-03 10:50:41.052878, Compass: ,148.5
2017-05-03 10:51:09.724742, Compass: ,149.3
2017-05-03 10:51:39.976106, Compass: ,150.1
2017-05-03 10:52:08.175510, Compass: ,150.9
2017-05-03 10:52:24.479277, Compass: ,151.7
2017-05-03 10:52:45.029017, Compass: ,152.4
2017-05-03 10:53:15.038381, Compass: ,153.2
2017-05-03 10:53:34.849219, Compass: ,153.9
2017-05-03 10:54:00.907622, Compass: ,154.5
2017-05-03 10:54:31.218788, Compass: ,155.1
2017-05-03 10:54:50.511085, Compass: ,155.8
2017-05-03 10:55:21.734328, Compass: ,156.4
2017-05-03 10:55:44.300784, Compass: ,156.9
2017-05-03 10:56:05.468737, Compass: ,157.5
2017-05-03 10:56:32.188569, Compass: ,158.1
2017-05-03 10:56:52.904765, Compass: ,158.6
2017-05-03 10:57:09.079143, Compass: ,159.1
2017-05-03 10:57:28.754870, Compass: ,159.5
2017-05-03 10:57:49.932801, Compass: ,160.0
2017-05-03 10:58:08.529445, Compass: ,160.4
2017-05-03 10:58:28.350508, Compass: ,160.8
2017-05-03 10:58:47.488787, Compass: ,161.1
2017-05-03 10:59:12.046168, Compass: ,161.5
2017-05-03 10:59:35.109931, Compass: ,161.8
2017-05-03 10:59:54.247160, Compass: ,162.2
2017-05-03 11:00:10.806549, Compass: ,162.5
2017-05-03 11:00:30.053144, Compass: ,162.8
2017-05-03 11:00:57.804411, Compass: ,163.1
2017-05-03 11:01:25.502246, Compass: ,163.2
2017-05-03 11:01:50.504886, Compass: ,163.4
2017-05-03 11:02:11.084609, Compass: ,163.5
2017-05-03 11:02:32.268052, Compass: ,163.6
2017-05-03 11:02:57.919667, Compass: ,163.6
2017-05-03 11:03:28.256091, Compass: ,163.6
2017-05-03 11:03:45.677741, Compass: ,163.6
2017-05-03 11:04:07.999444, Compass: ,163.5
2017-05-03 11:04:22.507904, Compass: ,163.5
2017-05-03 11:04:43.693967, Compass: ,163.4
2017-05-03 11:05:00.501911, Compass: ,163.3
2017-05-03 11:05:26.161480, Compass: ,163.2
2017-05-03 11:05:47.367115, Compass: ,163.0
2017-05-03 11:06:06.646367, Compass: ,162.8
2017-05-03 11:06:32.329952, Compass: ,162.5
2017-05-03 11:06:59.044911, Compass: ,162.2
2017-05-03 11:07:17.153076, Compass: ,161.9
2017-05-03 11:07:33.461268, Compass: ,161.6
2017-05-03 11:07:57.612814, Compass: ,161.2
2017-05-03 11:08:18.838847, Compass: ,160.8
2017-05-03 11:08:35.492668, Compass: ,160.3
2017-05-03 11:08:45.019571, Compass: ,159.8
2017-05-03 11:09:06.085989, Compass: ,159.2
2017-05-03 11:09:27.295907, Compass: ,158.5
2017-05-03 11:09:51.963853, Compass: ,157.9
2017-05-03 11:10:20.630001, Compass: ,157.2
2017-05-03 11:10:43.017482, Compass: ,156.4
2017-05-03 11:10:52.698959, Compass: ,155.5
2017-05-03 11:11:18.031494, Compass: ,154.5
2017-05-03 11:11:33.201248, Compass: ,153.4
2017-05-03 11:11:54.002310, Compass: ,152.4
2017-05-03 11:12:20.743011, Compass: ,151.3
2017-05-03 11:12:35.212394, Compass: ,150.2
2017-05-03 11:12:50.362047, Compass: ,149.1
2017-05-03 11:13:16.724013, Compass: ,147.8
2017-05-03 11:13:42.694852, Compass: ,146.3
2017-05-03 11:14:06.359362, Compass: ,144.8
2017-05-03 11:14:18.839329, Compass: ,143.1
2017-05-03 11:14:50.114213, Compass: ,141.4
2017-05-03 11:15:07.619921, Compass: ,139.5
2017-05-03 11:15:25.041663, Compass: ,137.4
2017-05-03 11:15:46.228072, Compass: ,135.2
2017-05-03 11:16:06.354167, Orientation: ,Yaw: East-SouthEast
2017-05-03 11:16:06.383672, Compass: ,132.8
2017-05-03 11:16:38.664415, Compass: ,130.4
2017-05-03 11:16:56.238317, Compass: ,127.9
2017-05-03 11:17:11.406516, Compass: ,125.5
2017-05-03 11:17:32.012507, Compass: ,123.0
2017-05-03 11:17:55.272315, Compass: ,120.4
2017-05-03 11:18:29.757469, Compass: ,117.8
2017-05-03 11:19:04.247782, Compass: ,115.1
2017-05-03 11:19:31.897666, Compass: ,112.3
2017-05-03 11:19:47.220207, Compass: ,109.6
2017-05-03 11:20:16.548107, Compass: ,106.8
2017-05-03 11:20:41.183730, Compass: ,104.1
2017-05-03 11:20:57.972530, Compass: ,101.4
2017-05-03 11:21:19.150973, Compass: ,98.8
2017-05-03 11:21:42.751770, Compass: ,96.3
2017-05-03 11:21:58.439014, Compass: ,93.9
2017-05-03 11:22:25.082157, Compass: ,91.5
2017-05-03 11:22:46.933767, Compass: ,89.2
2017-05-03 11:23:13.634032, Orientation: ,Yaw: NorthEast-East
2017-05-03 11:23:13.667307, Compass: ,86.9
2017-05-03 11:23:33.009166, Compass: ,84.6
2017-05-03 11:23:48.177176, Compass: ,82.5
2017-05-03 11:24:10.029509, Compass: ,80.5
2017-05-03 11:24:34.398365, Compass: ,78.5
2017-05-03 11:24:50.957117, Compass: ,76.6
2017-05-03 11:25:21.378938, Compass: ,74.7
2017-05-03 11:25:29.796986, Compass: ,72.9
2017-05-03 11:26:05.024697, Compass: ,71.2
2017-05-03 11:26:34.334516, Compass: ,69.6
2017-05-03 11:26:59.677192, Compass: ,68.0
2017-05-03 11:27:31.605079, Compass: ,66.6
2017-05-03 11:28:02.827698, Compass: ,65.3
2017-05-03 11:28:24.235293, Compass: ,64.0
2017-05-03 11:28:52.394615, Compass: ,62.8
2017-05-03 11:29:04.097112, Compass: ,61.7
2017-05-03 11:29:20.153888, Compass: ,60.7
